kanji,back,tags
乙,<b>Meanings:</b> the latter; duplicate; strange; witty; fishhook radical (no. 5)<br><br><b>On'yomi:</b> オツ; イツ<br><br><b>Kun'yomi:</b> おと-; きのと<br><br><b>Stats:</b> Strokes: 1 | Radical: 5 | Freq: #1841<br><br><b>Heisig:</b> RTK: #71 | RTK6: #75,grade8
卸,<b>Meanings:</b> wholesale<br><br><b>On'yomi:</b> シャ<br><br><b>Kun'yomi:</b> おろ.す; おろし; おろ.し<br><br><b>Stats:</b> Strokes: 9 | Radical: 26 | Freq: #1520<br><br><b>Heisig:</b> RTK: #1397 | RTK6: #1499,grade8
恩,<b>Meanings:</b> grace; kindness; goodness; favor; mercy; blessing; benefit<br><br><b>On'yomi:</b> オン<br><br><b>Name readings:</b> めぐみ<br><br><b>Stats:</b> Strokes: 10 | Radical: 61 | Freq: #1418<br><br><b>Heisig:</b> RTK: #606 | RTK6: #652,grade6
穏,<b>Meanings:</b> calm; quiet; moderation<br><br><b>On'yomi:</b> オン<br><br><b>Kun'yomi:</b> おだ.やか<br><br><b>Stats:</b> Strokes: 16 | Radical: 115 | Freq: #1535<br><br><b>Heisig:</b> RTK: #1147 | RTK6: #1230,grade8
伽,<b>Meanings:</b> nursing; attending; entertainer<br><br><b>On'yomi:</b> カ; ガ; キャ; ギャ<br><br><b>Kun'yomi:</b> とぎ<br><br><b>Stats:</b> Strokes: 7 | Radical: 9 | Freq: #2323<br><br><b>Heisig:</b> RTK: #2115 | RTK6: #2251,grade9
佳,<b>Meanings:</b> excellent; beautiful; good; pleasing; skilled<br><br><b>On'yomi:</b> カ<br><br><b>Name readings:</b> けい; よし<br><br><b>Stats:</b> Strokes: 8 | Radical: 9 | Freq: #1643<br><br><b>Heisig:</b> RTK: #970 | RTK6: #1044,grade8
嘉,<b>Meanings:</b> applaud; praise; esteem; happy; auspicious<br><br><b>On'yomi:</b> カ<br><br><b>Kun'yomi:</b> よみ.する; よい<br><br><b>Name readings:</b> ひろ; よし; よしみ; かず; よ<br><br><b>Stats:</b> Strokes: 14 | Radical: 30 | Freq: #1553<br><br><b>Heisig:</b> RTK: #2852 | RTK6: #2868,grade9
嫁,<b>Meanings:</b> marry into; bride<br><br><b>On'yomi:</b> カ<br><br><b>Kun'yomi:</b> よめ; とつ.ぐ; い.く; ゆ.く<br><br><b>Stats:</b> Strokes: 13 | Radical: 38 | Freq: #1581<br><br><b>Heisig:</b> RTK: #542 | RTK6: #581,grade8
寡,<b>Meanings:</b> widow; minority; few<br><br><b>On'yomi:</b> カ<br><br><b>Stats:</b> Strokes: 14 | Radical: 40 | Freq: #2035<br><br><b>Heisig:</b> RTK: #617 | RTK6: #664,grade8
暇,<b>Meanings:</b> spare time; rest; leisure; time; leave of absence<br><br><b>On'yomi:</b> カ<br><br><b>Kun'yomi:</b> ひま; いとま<br><br><b>Stats:</b> Strokes: 13 | Radical: 72 | Freq: #1386<br><br><b>Heisig:</b> RTK: #1882 | RTK6: #2027,grade8
架,<b>Meanings:</b> erect; frame; mount; support; shelf; construct<br><br><b>On'yomi:</b> カ<br><br><b>Kun'yomi:</b> か.ける; か.かる<br><br><b>Stats:</b> Strokes: 9 | Radical: 75 | Freq: #1555<br><br><b>Heisig:</b> RTK: #869 | RTK6: #934,grade8
禍,<b>Meanings:</b> calamity; misfortune; evil; curse<br><br><b>On'yomi:</b> カ<br><br><b>Kun'yomi:</b> わざわい<br><br><b>Stats:</b> Strokes: 13 | Radical: 113 | Freq: #2010<br><br><b>Heisig:</b> RTK: #1291 | RTK6: #1386,grade8
